Red (0-255),Green (0-255),Blue (0-255),Hue (0-360),Saturation (0-100),Lightness (0-100),Cyan (0-100),Magenta (0-100),Yellow (0-100),Key (0-100),IndexRGB,IndexHSL,IndexCMYK,Image,Batch_No.,CPC concentration (mg/ml),Day
140,184,152,137,23,63,23,0,16,27,9239733,1400399,23698567,DSC_5369.JPG,1,0.0833,2
140,182,148,131,22,63,22,0,18,28,9273804,1343112,22668468,DSC_5370.JPG,1,0.0833,2
125,178,143,140,25,59,29,0,19,29,8273238,1431788,29880678,DSC_5371.JPG,1,0.0833,2
125,178,143,140,25,59,29,0,19,29,8303256,1431800,29880678,DSC_5372.JPG,1,0.0833,2
128,180,146,140,26,60,28,0,19,29,8474128,1430725,28850376,DSC_5373.JPG,1,0.0833,2
132,183,149,139,26,61,27,0,18,28,8704013,1426541,27819973,DSC_5374.JPG,1,0.0833,2
131,186,148,138,28,62,29,0,20,26,8692464,1410069,29880776,DSC_5375.JPG,1,0.0833,2
132,186,149,138,28,62,29,0,20,26,8719593,1413378,29880775,DSC_5376.JPG,1,0.0833,2
136,190,151,137,29,64,28,0,20,25,8996540,1398240,28850473,DSC_5377.JPG,1,0.0833,2
138,190,151,135,28,64,27,0,20,25,9098629,1386336,27820172,DSC_5378.JPG,1,0.0833,2
139,190,152,135,28,64,26,0,20,25,9174035,1379593,26789871,DSC_5379.JPG,1,0.0833,2
139,190,151,134,28,64,26,0,20,25,9184635,1375108,26789871,DSC_5380.JPG,1,0.0833,2
139,190,152,135,28,64,26,0,20,25,9178968,1378491,26789871,DSC_5381.JPG,1,0.0833,2
139,190,152,134,28,64,26,0,20,25,9199072,1375199,26789871,DSC_5382.JPG,1,0.0833,2
139,189,151,134,27,64,26,0,19,25,9187859,1376042,26789770,DSC_5383.JPG,1,0.0833,2
138,189,151,135,27,64,26,0,19,25,9130260,1382632,26789771,DSC_5384.JPG,1,0.0833,2
135,186,148,136,27,63,27,0,20,26,8904013,1387622,27820174,DSC_5385.JPG,1,0.0833,2
139,190,151,134,28,64,26,0,20,25,9188805,1374507,26789871,DSC_5386.JPG,1,0.0833,2
140,190,152,134,27,64,26,0,19,25,9239107,1372306,26789770,DSC_5387.JPG,1,0.0833,2
140,190,152,134,27,64,26,0,20,25,9235175,1370859,26789871,DSC_5388.JPG,1,0.0833,2
116,198,141,138,42,61,41,0,28,22,7655261,1413360,42245191,DSC_5389.JPG,1,0.0833,2
115,198,141,138,42,61,41,0,28,22,7606681,1414678,42245191,DSC_5390.JPG,1,0.0833,2
117,197,142,138,41,61,40,0,28,22,7720580,1415579,41214890,DSC_5391.JPG,1,0.0833,2
116,197,141,138,41,61,41,0,28,22,7686599,1415762,42245191,DSC_5392.JPG,1,0.0833,2
116,197,142,138,41,61,40,0,28,22,7706823,1416242,41214890,DSC_5393.JPG,1,0.0833,2
117,198,142,138,41,61,40,0,28,22,7720054,1415971,41214890,DSC_5394.JPG,1,0.0833,2
116,197,142,138,41,61,41,0,28,22,7695927,1416310,42245191,DSC_5395.JPG,1,0.0833,2
116,197,142,138,41,61,41,0,28,22,7700287,1415887,42245191,DSC_5396.JPG,1,0.0833,2
117,198,142,138,41,61,40,0,28,22,7738551,1415947,41214890,DSC_5397.JPG,1,0.0833,2
116,197,141,138,41,61,41,0,28,22,7671250,1416314,42245191,DSC_5398.JPG,1,0.0833,2
116,198,142,138,41,61,41,0,28,22,7705907,1417112,42245191,DSC_5399.JPG,1,0.0833,2
116,197,141,138,41,61,41,0,28,22,7654829,1416874,42245191,DSC_5400.JPG,1,0.0833,2
116,197,141,138,41,61,41,0,28,22,7673712,1416698,42245191,DSC_5401.JPG,1,0.0833,2
133,200,156,140,37,65,33,0,21,21,8778168,1433505,34002075,DSC_5402.JPG,1,0.0833,2
133,200,156,140,37,65,33,0,21,21,8823423,1434905,34002075,DSC_5403.JPG,1,0.0833,2
132,199,155,140,37,65,33,0,22,21,8736881,1434239,34002177,DSC_5404.JPG,1,0.0833,2
132,199,155,140,37,65,33,0,22,21,8758060,1434315,34002176,DSC_5405.JPG,1,0.0833,2
132,200,155,140,38,65,33,0,22,21,8712659,1432553,34002176,DSC_5406.JPG,1,0.0833,2
132,199,155,140,38,65,33,0,22,21,8705837,1432315,34002176,DSC_5407.JPG,1,0.0833,2
133,199,154,139,37,65,33,0,22,21,8778123,1424982,34002176,DSC_5408.JPG,1,0.0833,2
123,179,139,138,27,59,31,0,21,29,8111866,1408627,31941482,DSC_5409.JPG,1,0.0833,2
123,179,140,137,27,59,31,0,21,29,8159084,1407251,31941481,DSC_5410.JPG,1,0.0833,2
124,180,141,137,27,59,31,0,21,29,8213504,1406706,31941481,DSC_5411.JPG,1,0.0833,2
123,179,140,138,27,59,31,0,21,29,8110249,1411668,31941481,DSC_5412.JPG,1,0.0833,2
123,180,141,138,27,59,31,0,21,29,8159408,1412602,31941481,DSC_5413.JPG,1,0.0833,2
122,179,140,138,27,59,31,0,21,29,8102896,1412425,31941482,DSC_5414.JPG,1,0.0833,2
121,179,141,140,27,59,32,0,21,29,8017496,1428612,32971782,DSC_5415.JPG,1,0.0833,2
122,180,140,138,28,59,32,0,22,29,8092455,1412587,32971883,DSC_5416.JPG,1,0.0833,2
122,180,140,138,27,59,32,0,22,29,8072275,1411422,32971883,DSC_5417.JPG,1,0.0833,2
121,179,138,138,27,58,32,0,22,29,7991131,1411220,32971884,DSC_5418.JPG,1,0.0833,2
123,179,138,136,26,59,31,0,22,29,8151281,1391530,31941582,DSC_5419.JPG,1,0.0833,2
119,185,139,138,32,59,35,0,24,27,7877886,1412529,36062986,DSC_5420.JPG,1,0.0833,2
118,184,139,138,32,59,35,0,24,27,7819073,1413581,36062986,DSC_5421.JPG,1,0.0833,2
117,185,138,138,32,59,36,0,25,27,7716369,1413790,37093388,DSC_5422.JPG,1,0.0833,2
113,184,135,138,33,58,38,0,26,27,7457632,1416674,39154091,DSC_5423.JPG,1,0.0833,2
111,183,134,138,33,57,39,0,27,27,7355299,1415523,40184494,DSC_5424.JPG,1,0.0833,2
116,184,137,138,32,58,37,0,25,27,7652274,1415409,38123689,DSC_5425.JPG,1,0.0833,2
111,184,134,138,34,58,39,0,27,27,7349201,1416068,40184493,DSC_5426.JPG,1,0.0833,2
112,185,135,138,34,58,39,0,27,27,7394726,1415379,40184493,DSC_5427.JPG,1,0.0833,2
113,183,134,138,32,58,38,0,26,28,7476851,1413612,39154092,DSC_5428.JPG,1,0.0833,2
127,204,150,138,43,64,37,0,26,19,8380719,1408706,38123783,DSC_5429.JPG,1,0.0833,2
127,204,150,138,43,65,37,0,26,19,8390491,1407853,38123782,DSC_5430.JPG,1,0.0833,2
127,205,151,138,43,65,37,0,26,19,8434790,1408426,38123782,DSC_5431.JPG,1,0.0833,2
128,205,151,138,43,65,37,0,26,19,8445583,1408832,38123782,DSC_5432.JPG,1,0.0833,2
129,206,152,138,44,65,37,0,26,18,8519865,1408259,38123782,DSC_5433.JPG,1,0.0833,2
130,207,153,138,44,66,37,0,26,18,8575616,1408798,38123781,DSC_5434.JPG,1,0.0833,2
130,208,154,138,45,66,37,0,26,18,8634122,1408583,38123781,DSC_5435.JPG,1,0.0833,2
130,207,153,138,44,66,37,0,26,18,8581066,1409082,38123781,DSC_5436.JPG,1,0.0833,2
130,207,153,138,45,66,37,0,25,18,8610522,1408857,38123680,DSC_5437.JPG,1,0.0833,2
130,208,154,138,45,66,37,0,25,18,8624123,1409245,38123680,DSC_5438.JPG,1,0.0833,2
130,207,153,138,44,66,37,0,25,18,8594134,1409180,38123680,DSC_5439.JPG,1,0.0833,2
131,209,154,138,45,66,37,0,25,18,8661663,1409327,38123680,DSC_5440.JPG,1,0.0833,2
130,208,153,138,45,66,37,0,26,18,8607157,1408657,38123781,DSC_5441.JPG,1,0.0833,2
130,208,154,138,45,66,37,0,26,18,8632667,1407999,38123781,DSC_5442.JPG,1,0.0833,2
131,209,154,138,45,66,37,0,25,18,8680543,1408921,38123680,DSC_5443.JPG,1,0.0833,2
130,208,153,138,45,66,37,0,26,18,8604093,1408102,38123781,DSC_5444.JPG,1,0.0833,2
130,208,154,138,45,66,37,0,26,18,8619620,1408207,38123781,DSC_5445.JPG,1,0.0833,2
130,208,153,138,45,66,37,0,26,18,8611327,1408008,38123781,DSC_5446.JPG,1,0.0833,2
128,206,151,138,44,65,37,0,26,19,8481875,1407885,38123782,DSC_5447.JPG,1,0.0833,2
128,205,151,137,44,65,37,0,26,19,8446798,1407709,38123782,DSC_5448.JPG,1,0.0833,2
119,197,143,138,40,62,39,0,27,22,7878656,1413208,40184488,DSC_5449.JPG,1,0.0833,2
119,195,142,138,39,61,39,0,27,23,7874539,1412615,40184489,DSC_5450.JPG,1,0.0833,2
120,196,143,138,39,62,38,0,26,22,7924845,1411978,39154087,DSC_5451.JPG,1,0.0833,2
120,197,144,138,39,62,38,0,26,22,7957819,1411386,39154086,DSC_5452.JPG,1,0.0833,2
121,198,144,138,40,62,38,0,26,22,8010033,1410742,39154086,DSC_5453.JPG,1,0.0833,2
121,198,145,138,40,62,38,0,26,22,8018132,1411162,39154086,DSC_5454.JPG,1,0.0833,2
120,196,143,138,39,62,38,0,27,22,7919924,1411077,39154188,DSC_5455.JPG,1,0.0833,2
120,197,144,138,39,62,38,0,26,22,7968050,1412305,39154086,DSC_5456.JPG,1,0.0833,2
