Red (0-255),Green (0-255),Blue (0-255),Hue (0-360),Saturation (0-100),Lightness (0-100),Cyan (0-100),Magenta (0-100),Yellow (0-100),Key (0-100),IndexRGB,IndexHSL,IndexCMYK,Image,Batch_No.,CPC concentration (mg/ml),Day
221,221,180,59,38,78,0,0,18,13,14584219,610627,1831,DSC_4290.JPG,1,0.0833,2
224,224,181,59,40,79,0,0,18,12,14754556,611700,1830,DSC_4291.JPG,1,0.0833,2
224,224,181,59,40,79,0,0,18,12,14739932,611622,1830,DSC_4292.JPG,1,0.0833,2
224,224,181,59,40,79,0,0,18,12,14748984,611394,1830,DSC_4293.JPG,1,0.0833,2
224,224,181,59,40,79,0,0,18,12,14754094,611016,1830,DSC_4294.JPG,1,0.0833,2
223,224,181,60,40,79,0,0,18,12,14737281,612464,1830,DSC_4295.JPG,1,0.0833,2
224,224,181,59,40,79,0,0,18,12,14744763,612045,1830,DSC_4296.JPG,1,0.0833,2
224,224,181,60,40,79,0,0,18,12,14747595,612104,1830,DSC_4297.JPG,1,0.0833,2
223,223,181,59,40,79,0,0,19,12,14730968,611966,1931,DSC_4298.JPG,1,0.0833,2
224,224,181,59,40,79,0,0,19,12,14740538,611878,1931,DSC_4299.JPG,1,0.0833,2
223,223,181,59,40,79,0,0,19,12,14736738,611357,1931,DSC_4300.JPG,1,0.0833,2
224,223,181,59,40,79,0,0,19,12,14739867,611426,1931,DSC_4301.JPG,1,0.0833,2
224,224,181,59,40,79,0,0,19,12,14742916,611467,1931,DSC_4302.JPG,1,0.0833,2
223,223,181,59,40,79,0,0,19,12,14731539,611379,1931,DSC_4303.JPG,1,0.0833,2
224,223,181,59,40,79,0,0,19,12,14739469,611136,1931,DSC_4304.JPG,1,0.0833,2
223,223,181,59,40,79,0,0,19,12,14725121,611670,1931,DSC_4305.JPG,1,0.0833,2
223,223,181,59,40,79,0,0,19,12,14730524,611696,1931,DSC_4306.JPG,1,0.0833,2
223,223,181,59,40,79,0,0,19,12,14731138,611457,1931,DSC_4307.JPG,1,0.0833,2
223,223,181,59,40,79,0,0,19,12,14732086,611674,1931,DSC_4308.JPG,1,0.0833,2
223,223,181,59,40,79,0,0,18,12,14720801,610805,1830,DSC_4309.JPG,1,0.0833,2
223,223,181,59,40,79,0,0,18,12,14732494,610898,1830,DSC_4310.JPG,1,0.0833,2
224,223,181,59,40,79,0,0,18,12,14741140,610607,1830,DSC_4311.JPG,1,0.0833,2
224,224,181,59,40,79,0,0,18,12,14750115,610661,1830,DSC_4312.JPG,1,0.0833,2
224,223,181,59,40,79,0,0,18,12,14740344,610937,1830,DSC_4313.JPG,1,0.0833,2
224,224,181,59,40,79,0,0,18,12,14746009,610782,1830,DSC_4314.JPG,1,0.0833,2
224,224,181,59,40,79,0,0,18,12,14749117,610482,1830,DSC_4315.JPG,1,0.0833,2
224,224,181,59,40,79,0,0,18,12,14744900,610619,1830,DSC_4316.JPG,1,0.0833,2
223,223,181,59,40,79,0,0,18,12,14736796,610700,1830,DSC_4317.JPG,1,0.0833,2
224,224,181,59,40,79,0,0,18,12,14744388,610674,1830,DSC_4318.JPG,1,0.0833,2
224,224,181,59,40,79,0,0,18,12,14748839,610858,1830,DSC_4319.JPG,1,0.0833,2
223,223,181,59,40,79,0,0,18,12,14735624,610883,1830,DSC_4320.JPG,1,0.0833,2
223,223,181,59,40,79,0,0,18,12,14724195,610795,1830,DSC_4321.JPG,1,0.0833,2
224,223,181,59,40,79,0,0,18,12,14741103,610927,1830,DSC_4322.JPG,1,0.0833,2
224,224,181,59,40,79,0,0,18,12,14749670,610549,1830,DSC_4323.JPG,1,0.0833,2
224,224,182,59,40,79,0,0,18,12,14751808,610747,1830,DSC_4324.JPG,1,0.0833,2
224,224,182,59,40,79,0,0,18,12,14746640,610652,1830,DSC_4325.JPG,1,0.0833,2
224,224,181,59,40,79,0,0,18,12,14748717,610380,1830,DSC_4326.JPG,1,0.0833,2
223,223,181,59,40,79,0,0,18,12,14731691,610008,1830,DSC_4327.JPG,1,0.0833,2
223,223,181,59,40,79,0,0,18,12,14737142,610592,1830,DSC_4328.JPG,1,0.0833,2
224,223,181,59,40,79,0,0,18,12,14742955,610367,1830,DSC_4329.JPG,1,0.0833,2
