Red (0-255),Green (0-255),Blue (0-255),Hue (0-360),Saturation (0-100),Lightness (0-100),Cyan (0-100),Magenta (0-100),Yellow (0-100),Key (0-100),IndexRGB,IndexHSL,IndexCMYK,Image,Batch_No.,CPC concentration (mg/ml),Day
131,213,154,136,49,67,38,0,27,16,8687842,1395769,39154181,DSC_5857.JPG,1,0.0833,2
132,213,154,136,49,67,38,0,27,16,8732532,1393788,39154181,DSC_5858.JPG,1,0.0833,2
132,213,154,136,49,67,38,0,27,16,8720106,1394897,39154181,DSC_5859.JPG,1,0.0833,2
132,213,155,136,49,67,37,0,27,16,8755000,1396346,38123880,DSC_5860.JPG,1,0.0833,2
132,213,155,136,49,67,37,0,27,16,8770934,1396864,38123880,DSC_5861.JPG,1,0.0833,2
132,212,154,136,48,67,37,0,27,16,8706096,1396366,38123880,DSC_5862.JPG,1,0.0833,2
132,212,154,136,48,67,37,0,27,16,8724182,1395995,38123880,DSC_5863.JPG,1,0.0833,2
135,214,157,136,49,68,36,0,26,15,8943328,1394426,37093478,DSC_5864.JPG,1,0.0833,2
134,213,156,136,49,68,37,0,26,16,8854433,1395316,38123779,DSC_5865.JPG,1,0.0833,2
134,214,156,136,49,68,37,0,26,15,8852075,1395651,38123779,DSC_5866.JPG,1,0.0833,2
132,211,155,136,47,67,37,0,26,16,8759510,1396512,38123780,DSC_5867.JPG,1,0.0833,2
134,212,157,137,47,68,36,0,25,16,8885413,1402884,37093377,DSC_5868.JPG,1,0.0833,2
135,214,157,136,48,68,36,0,26,16,8961466,1395152,37093478,DSC_5869.JPG,1,0.0833,2
136,214,157,136,49,68,36,0,26,15,9001436,1392586,37093478,DSC_5870.JPG,1,0.0833,2
139,214,160,136,47,69,34,0,25,15,9213739,1392300,35032775,DSC_5871.JPG,1,0.0833,2
140,215,161,136,48,69,34,0,25,15,9292785,1392768,35032774,DSC_5872.JPG,1,0.0833,2
139,214,160,136,48,69,34,0,25,15,9202474,1394054,35032775,DSC_5873.JPG,1,0.0833,2
136,212,157,137,47,68,35,0,25,16,8986510,1397867,36063076,DSC_5874.JPG,1,0.0833,2
133,210,155,137,46,67,36,0,26,17,8780364,1400583,37093479,DSC_5875.JPG,1,0.0833,2
137,209,159,138,44,68,34,0,23,17,9044746,1415068,35032574,DSC_5876.JPG,1,0.0833,2
142,210,164,139,43,69,32,0,22,17,9395557,1418191,32971871,DSC_5878.JPG,1,0.0833,2
145,212,167,139,43,70,31,0,21,16,9610640,1419691,31941468,DSC_5879.JPG,1,0.0833,2
145,212,166,139,43,70,31,0,21,16,9577076,1420313,31941468,DSC_5880.JPG,1,0.0833,2
144,210,165,139,42,69,31,0,21,17,9517155,1421368,31941469,DSC_5881.JPG,1,0.0833,2
145,211,166,139,42,69,31,0,21,17,9592033,1421988,31941469,DSC_5882.JPG,1,0.0833,2
147,210,167,138,40,70,29,0,20,17,9751033,1415812,29880766,DSC_5883.JPG,1,0.0833,2
147,210,167,138,40,70,29,0,20,17,9748534,1416583,29880766,DSC_5884.JPG,1,0.0833,2
148,210,167,138,40,70,29,0,20,17,9769876,1416674,29880766,DSC_5885.JPG,1,0.0833,2
148,210,167,138,41,70,29,0,20,17,9759396,1416037,29880766,DSC_5886.JPG,1,0.0833,2
147,209,167,138,40,70,29,0,20,17,9742601,1416603,29880766,DSC_5887.JPG,1,0.0833,2
148,210,167,138,41,70,29,0,20,17,9782437,1415803,29880766,DSC_5888.JPG,1,0.0833,2
148,210,167,138,41,70,29,0,20,17,9758453,1415837,29880766,DSC_5889.JPG,1,0.0833,2
147,210,167,138,40,70,29,0,20,17,9749833,1415626,29880766,DSC_5890.JPG,1,0.0833,2
148,210,168,139,41,70,29,0,19,17,9795269,1422719,29880665,DSC_5891.JPG,1,0.0833,2
149,209,168,139,40,70,28,0,19,17,9834967,1423117,28850364,DSC_5892.JPG,1,0.0833,2
149,210,169,139,40,70,28,0,19,17,9844581,1423262,28850364,DSC_5893.JPG,1,0.0833,2
149,210,169,139,40,70,28,0,19,17,9846657,1422870,28850364,DSC_5894.JPG,1,0.0833,2
149,209,168,139,40,70,28,0,19,17,9831686,1422793,28850364,DSC_5895.JPG,1,0.0833,2
149,210,169,139,40,70,28,0,19,17,9857036,1423260,28850364,DSC_5896.JPG,1,0.0833,2
149,210,169,139,40,70,28,0,19,17,9850686,1422949,28850364,DSC_5897.JPG,1,0.0833,2
147,206,166,139,38,69,28,0,19,18,9746408,1420158,28850366,DSC_5898.JPG,1,0.0833,2
148,206,165,138,37,69,28,0,19,18,9761552,1409899,28850366,DSC_5899.JPG,1,0.0833,2
148,207,166,138,37,69,28,0,19,18,9789991,1409707,28850365,DSC_5900.JPG,1,0.0833,2
149,205,164,135,36,69,27,0,20,19,9834357,1384478,27820166,DSC_5901.JPG,1,0.0833,2
148,206,165,137,37,69,27,0,19,19,9801624,1399266,27820065,DSC_5902.JPG,1,0.0833,2
148,206,165,137,37,69,27,0,19,19,9792612,1399741,27820065,DSC_5903.JPG,1,0.0833,2
150,207,165,136,37,70,27,0,20,18,9888795,1391094,27820165,DSC_5904.JPG,1,0.0833,2
150,207,165,136,37,70,27,0,20,18,9885827,1390927,27820165,DSC_5905.JPG,1,0.0833,2
149,207,165,136,37,70,27,0,20,18,9876839,1390798,27820165,DSC_5906.JPG,1,0.0833,2
