Red (0-255),Green (0-255),Blue (0-255),Hue (0-360),Saturation (0-100),Lightness (0-100),Cyan (0-100),Magenta (0-100),Yellow (0-100),Key (0-100),IndexRGB,IndexHSL,IndexCMYK,Image,Batch_No.,CPC concentration (mg/ml),Day
231,232,186,60,50,82,0,0,19,8,15255567,618625,1927,DSC_4772.JPG,1,0.0833,2
231,232,185,60,50,81,0,0,19,8,15245118,618870,1928,DSC_4773.JPG,1,0.0833,2
231,232,185,60,50,81,0,0,19,8,15239965,618540,1928,DSC_4774.JPG,1,0.0833,2
230,231,184,60,49,81,0,0,20,9,15184859,618939,2029,DSC_4775.JPG,1,0.0833,2
230,231,184,60,49,81,0,0,20,9,15189671,618040,2029,DSC_4776.JPG,1,0.0833,2
231,231,185,60,49,81,0,0,19,9,15201581,617537,1928,DSC_4777.JPG,1,0.0833,2
231,232,185,60,50,81,0,0,19,9,15235332,618048,1928,DSC_4778.JPG,1,0.0833,2
231,232,186,60,50,82,0,0,19,8,15249241,618147,1928,DSC_4779.JPG,1,0.0833,2
231,232,186,60,50,82,0,0,19,8,15247625,620374,1927,DSC_4780.JPG,1,0.0833,2
231,232,186,60,50,82,0,0,19,8,15258674,620548,1927,DSC_4781.JPG,1,0.0833,2
231,232,186,60,50,82,0,0,19,8,15258256,620510,1927,DSC_4782.JPG,1,0.0833,2
231,232,186,60,50,82,0,0,19,8,15262784,620682,1927,DSC_4783.JPG,1,0.0833,2
232,232,186,60,50,82,0,0,19,8,15267889,620537,1927,DSC_4784.JPG,1,0.0833,2
231,232,186,60,50,82,0,0,19,8,15260449,620493,1927,DSC_4785.JPG,1,0.0833,2
231,232,186,60,50,82,0,0,19,8,15262573,620422,1927,DSC_4786.JPG,1,0.0833,2
232,232,186,60,51,82,0,0,19,8,15275260,620448,1927,DSC_4787.JPG,1,0.0833,2
232,232,186,60,51,82,0,0,19,8,15278455,620704,1927,DSC_4788.JPG,1,0.0833,2
232,232,186,60,50,82,0,0,19,8,15276528,620737,1927,DSC_4789.JPG,1,0.0833,2
