Red (0-255),Green (0-255),Blue (0-255),Hue (0-360),Saturation (0-100),Lightness (0-100),Cyan (0-100),Magenta (0-100),Yellow (0-100),Key (0-100),IndexRGB,IndexHSL,IndexCMYK,Image,Batch_No.,CPC concentration (mg/ml),Day
61,171,122,153,47,45,64,0,28,32,4082423,1564406,65942124,IMG_2176.JPG,1,0.0833,2
62,173,124,153,46,46,63,0,28,32,4158456,1565228,64911823,IMG_2177.JPG,1,0.0833,2
62,173,123,153,47,46,64,0,28,31,4109588,1564272,65942124,IMG_2178.JPG,1,0.0833,2
61,173,123,153,47,46,64,0,28,31,4061504,1564057,65942124,IMG_2179.JPG,1,0.0833,2
61,173,124,153,47,46,64,0,28,31,4095517,1564098,65942124,IMG_2180.JPG,1,0.0833,2
66,192,137,153,50,50,65,0,28,24,4406261,1566426,66972417,IMG_2181.JPG,1,0.0833,2
66,192,136,153,50,50,65,0,28,24,4381693,1566585,66972417,IMG_2182.JPG,1,0.0833,2
65,191,135,153,49,50,65,0,29,24,4346675,1565729,66972519,IMG_2183.JPG,1,0.0833,2
67,192,137,153,50,50,65,0,28,24,4453602,1566056,66972417,IMG_2184.JPG,1,0.0833,2
66,193,137,153,50,51,65,0,28,24,4428091,1565981,66972417,IMG_2185.JPG,1,0.0833,2
66,193,137,153,50,50,65,0,28,24,4417356,1566126,66972417,IMG_2186.JPG,1,0.0833,2
66,193,136,153,50,50,65,0,29,24,4375699,1565567,66972518,IMG_2187.JPG,1,0.0833,2
65,192,136,153,50,50,65,0,29,24,4363917,1565841,66972518,IMG_2188.JPG,1,0.0833,2
66,193,137,153,50,51,65,0,28,24,4423567,1567182,66972417,IMG_2189.JPG,1,0.0833,2
66,193,137,153,50,51,65,0,28,23,4426850,1566807,66972417,IMG_2190.JPG,1,0.0833,2
66,193,137,153,50,50,65,0,28,24,4408984,1565817,66972417,IMG_2191.JPG,1,0.0833,2
66,193,137,153,50,51,65,0,28,24,4417165,1566102,66972417,IMG_2192.JPG,1,0.0833,2
66,193,137,153,50,50,65,0,29,24,4375206,1566010,66972518,IMG_2193.JPG,1,0.0833,2
65,191,135,153,49,50,65,0,29,25,4316795,1566852,66972519,IMG_2194.JPG,1,0.0833,2
66,191,136,153,49,50,65,0,28,24,4375451,1567855,66972418,IMG_2195.JPG,1,0.0833,2
59,179,123,151,50,47,66,0,31,29,3968191,1549700,68003026,IMG_2197.JPG,1,0.0833,2
60,181,124,151,49,47,66,0,31,28,4032061,1549371,68003026,IMG_2198.JPG,1,0.0833,2
59,180,123,151,50,47,66,0,31,29,3975710,1549337,68003026,IMG_2199.JPG,1,0.0833,2
59,179,123,151,50,46,66,0,31,29,3956496,1548890,68003026,IMG_2200.JPG,1,0.0833,2
