Red (0-255),Green (0-255),Blue (0-255),Hue (0-360),Saturation (0-100),Lightness (0-100),Cyan (0-100),Magenta (0-100),Yellow (0-100),Key (0-100),IndexRGB,IndexHSL,IndexCMYK,Image,Batch_No.,CPC concentration (mg/ml),Day
147,189,125,99,32,61,21,0,33,25,9735127,1010275,21639680,IMG_1804.JPG,1,0.0833,2
147,189,125,99,32,61,21,0,33,25,9730844,1011501,21639680,IMG_1805.JPG,1,0.0833,2
147,188,125,99,32,61,21,0,33,25,9714344,1010715,21639680,IMG_1806.JPG,1,0.0833,2
147,188,125,99,32,61,21,0,33,25,9705990,1011715,21639680,IMG_1807.JPG,1,0.0833,2
147,188,125,99,32,61,21,0,33,25,9708476,1011646,21639680,IMG_1808.JPG,1,0.0833,2
147,189,125,99,32,61,21,0,33,25,9715401,1011330,21639680,IMG_1809.JPG,1,0.0833,2
147,189,125,99,32,61,21,0,33,25,9715822,1011328,21639680,IMG_1810.JPG,1,0.0833,2
146,188,125,99,32,61,22,0,33,25,9675565,1016215,22669981,IMG_1811.JPG,1,0.0833,2
146,188,125,99,32,61,22,0,33,25,9682106,1015794,22669981,IMG_1812.JPG,1,0.0833,2
146,188,125,99,32,61,22,0,33,26,9658276,1016808,22669981,IMG_1813.JPG,1,0.0833,2
146,188,124,99,32,61,22,0,33,26,9645408,1016478,22669981,IMG_1814.JPG,1,0.0833,2
146,187,124,99,32,61,22,0,33,26,9621004,1016726,22669981,IMG_1815.JPG,1,0.0833,2
145,187,124,99,31,61,22,0,33,26,9603791,1017174,22669981,IMG_1816.JPG,1,0.0833,2
145,187,124,99,31,61,22,0,33,26,9604307,1017153,22669981,IMG_1817.JPG,1,0.0833,2
145,187,124,99,31,61,22,0,33,26,9607708,1016446,22669981,IMG_1818.JPG,1,0.0833,2
146,187,124,99,32,61,22,0,33,26,9625883,1016524,22669981,IMG_1819.JPG,1,0.0833,2
146,188,124,99,32,61,22,0,33,26,9626456,1016527,22669981,IMG_1820.JPG,1,0.0833,2
146,188,125,99,32,61,22,0,33,26,9649917,1016779,22669981,IMG_1821.JPG,1,0.0833,2
146,188,124,99,32,61,22,0,33,26,9644311,1016316,22669981,IMG_1822.JPG,1,0.0833,2
146,188,124,99,32,61,22,0,33,26,9645208,1016377,22669981,IMG_1823.JPG,1,0.0833,2
146,188,124,99,32,61,22,0,33,26,9647217,1016465,22669981,IMG_1824.JPG,1,0.0833,2
146,188,124,99,32,61,22,0,33,26,9629832,1016751,22669981,IMG_1825.JPG,1,0.0833,2
146,187,124,99,32,61,22,0,33,26,9622392,1016555,22669981,IMG_1826.JPG,1,0.0833,2
146,188,124,99,32,61,22,0,33,26,9631193,1016949,22669981,IMG_1827.JPG,1,0.0833,2
146,188,124,99,32,61,22,0,33,26,9650156,1016438,22669981,IMG_1828.JPG,1,0.0833,2
147,188,125,99,32,61,21,0,33,26,9686451,1011953,21639680,IMG_1829.JPG,1,0.0833,2
147,188,125,99,32,61,21,0,33,26,9682509,1012260,21639680,IMG_1830.JPG,1,0.0833,2
147,188,125,99,32,61,21,0,33,26,9685860,1012131,21639680,IMG_1831.JPG,1,0.0833,2
