Red (0-255),Green (0-255),Blue (0-255),Hue (0-360),Saturation (0-100),Lightness (0-100),Cyan (0-100),Magenta (0-100),Yellow (0-100),Key (0-100),IndexRGB,IndexHSL,IndexCMYK,Image,Batch_No.,CPC concentration (mg/ml),Day
84,195,128,143,48,54,56,0,34,23,5566073,1467670,57700313,IMG_2682.JPG,1,0.0833,2
83,193,126,143,47,54,56,0,34,24,5520679,1463303,57700314,IMG_2683.JPG,1,0.0833,2
83,195,127,143,48,54,57,0,34,23,5539348,1465906,58730614,IMG_2684.JPG,1,0.0833,2
83,197,128,143,49,55,57,0,34,22,5544128,1467783,58730613,IMG_2685.JPG,1,0.0833,2
83,199,129,143,50,55,57,0,34,21,5537835,1466739,58730613,IMG_2686.JPG,1,0.0833,2
83,199,129,143,51,55,57,0,35,21,5548778,1466077,58730713,IMG_2687.JPG,1,0.0833,2
83,199,130,144,51,55,58,0,34,21,5531989,1469471,59760913,IMG_2688.JPG,1,0.0833,2
84,201,131,144,52,56,57,0,34,20,5599621,1469469,58730612,IMG_2689.JPG,1,0.0833,2
83,201,131,144,52,55,58,0,35,20,5525262,1470559,59761014,IMG_2690.JPG,1,0.0833,2
84,204,132,144,54,56,58,0,34,19,5593667,1471747,59760912,IMG_2691.JPG,1,0.0833,2
83,201,131,144,52,55,58,0,34,20,5554172,1470834,59760913,IMG_2692.JPG,1,0.0833,2
83,201,131,144,52,55,58,0,34,21,5529831,1471145,59760913,IMG_2693.JPG,1,0.0833,2
83,200,130,144,51,55,58,0,34,21,5540373,1469800,59760913,IMG_2694.JPG,1,0.0833,2
84,198,129,143,50,55,57,0,34,22,5573671,1468938,58730613,IMG_2695.JPG,1,0.0833,2
83,200,130,143,51,55,58,0,34,21,5543659,1468924,59760913,IMG_2696.JPG,1,0.0833,2
85,204,132,144,53,56,58,0,34,19,5628690,1470602,59760912,IMG_2697.JPG,1,0.0833,2
83,198,129,143,50,55,57,0,34,22,5519420,1468762,58730613,IMG_2698.JPG,1,0.0833,2
84,199,130,143,51,55,57,0,34,21,5579373,1468568,58730612,IMG_2699.JPG,1,0.0833,2
83,199,129,143,50,55,57,0,34,21,5546590,1468911,58730613,IMG_2700.JPG,1,0.0833,2
83,199,129,144,51,55,58,0,35,21,5499409,1469085,59761014,IMG_2701.JPG,1,0.0833,2
85,194,128,143,47,55,56,0,34,23,5667366,1464440,57700313,IMG_2702.JPG,1,0.0833,2
85,193,127,143,46,54,55,0,34,24,5643537,1462776,56670013,IMG_2703.JPG,1,0.0833,2
85,189,125,143,44,53,54,0,33,25,5645593,1462238,55639612,IMG_2704.JPG,1,0.0833,2
84,191,127,143,45,54,55,0,33,24,5583599,1468695,56669913,IMG_2705.JPG,1,0.0833,2
85,191,127,143,45,54,55,0,33,24,5626397,1468353,56669913,IMG_2706.JPG,1,0.0833,2
85,191,127,143,45,54,55,0,33,25,5672120,1468660,56669913,IMG_2707.JPG,1,0.0833,2
85,190,127,143,45,54,55,0,33,25,5633699,1467943,56669913,IMG_2708.JPG,1,0.0833,2
84,191,127,143,45,54,55,0,33,25,5614495,1468859,56669913,IMG_2709.JPG,1,0.0833,2
84,191,127,144,45,54,55,0,33,24,5614686,1469405,56669913,IMG_2710.JPG,1,0.0833,2
85,191,127,143,45,54,55,0,33,25,5646806,1468839,56669913,IMG_2711.JPG,1,0.0833,2
84,189,126,144,44,53,55,0,33,25,5582942,1469098,56669913,IMG_2712.JPG,1,0.0833,2
85,193,128,144,47,54,56,0,33,23,5626916,1469310,57700213,IMG_2713.JPG,1,0.0833,2
85,194,129,144,47,54,56,0,33,23,5654776,1469577,57700212,IMG_2714.JPG,1,0.0833,2
85,194,129,144,47,54,56,0,33,23,5637533,1470727,57700213,IMG_2715.JPG,1,0.0833,2
85,193,128,144,47,54,56,0,33,23,5638944,1470101,57700213,IMG_2716.JPG,1,0.0833,2
85,193,129,144,47,54,55,0,33,23,5654294,1469756,56669912,IMG_2717.JPG,1,0.0833,2
86,192,129,144,46,54,55,0,32,24,5708571,1471584,56669811,IMG_2718.JPG,1,0.0833,2
86,194,129,144,47,54,55,0,33,23,5690370,1470184,56669912,IMG_2719.JPG,1,0.0833,2
86,194,129,144,47,54,55,0,33,23,5701177,1469168,56669912,IMG_2720.JPG,1,0.0833,2
85,192,128,144,45,54,55,0,33,24,5659988,1469739,56669912,IMG_2721.JPG,1,0.0833,2
83,194,127,143,47,54,56,0,34,23,5550060,1465043,57700314,IMG_2722.JPG,1,0.0833,2
84,195,128,143,47,54,56,0,34,23,5591641,1466072,57700313,IMG_2723.JPG,1,0.0833,2
