Red (0-255),Green (0-255),Blue (0-255),Hue (0-360),Saturation (0-100),Lightness (0-100),Cyan (0-100),Magenta (0-100),Yellow (0-100),Key (0-100),IndexRGB,IndexHSL,IndexCMYK,Image,Batch_No.,CPC concentration (mg/ml),Day
207,228,150,76,59,74,9,0,34,10,13674932,777288,9276153,IMG_2406.JPG,1,0.0833,2
207,228,150,76,59,74,9,0,34,10,13663833,778121,9276153,IMG_2407.JPG,1,0.0833,2
207,228,150,76,59,74,9,0,34,10,13651237,778914,9276153,IMG_2408.JPG,1,0.0833,2
207,228,150,76,59,74,9,0,34,10,13656208,779261,9276153,IMG_2409.JPG,1,0.0833,2
207,228,150,76,59,74,9,0,34,10,13632590,778767,9276153,IMG_2410.JPG,1,0.0833,2
207,228,150,76,59,74,9,0,34,10,13657512,779067,9276153,IMG_2411.JPG,1,0.0833,2
207,228,150,76,59,74,9,0,34,10,13658763,778725,9276153,IMG_2412.JPG,1,0.0833,2
207,228,150,76,59,74,9,0,34,10,13654512,779635,9276153,IMG_2413.JPG,1,0.0833,2
207,228,150,76,59,74,9,0,34,10,13653815,779907,9276153,IMG_2414.JPG,1,0.0833,2
207,228,151,76,59,74,9,0,33,10,13670855,778667,9276052,IMG_2415.JPG,1,0.0833,2
207,228,151,76,59,74,9,0,33,10,13661024,779171,9276052,IMG_2416.JPG,1,0.0833,2
207,228,150,76,59,74,9,0,34,10,13652241,779734,9276153,IMG_2417.JPG,1,0.0833,2
207,228,151,76,59,74,9,0,33,10,13659305,779942,9276052,IMG_2418.JPG,1,0.0833,2
207,228,150,76,59,74,9,0,34,10,13648954,779383,9276153,IMG_2419.JPG,1,0.0833,2
207,228,150,76,59,74,9,0,34,10,13641271,779180,9276153,IMG_2420.JPG,1,0.0833,2
207,228,150,76,59,74,9,0,33,10,13638938,778815,9276052,IMG_2421.JPG,1,0.0833,2
207,228,151,76,59,74,9,0,33,10,13656943,779495,9276052,IMG_2422.JPG,1,0.0833,2
207,228,151,76,59,74,9,0,33,10,13663316,780312,9276052,IMG_2423.JPG,1,0.0833,2
207,228,151,76,59,74,9,0,33,10,13670951,778829,9276052,IMG_2424.JPG,1,0.0833,2
207,228,151,76,59,74,9,0,33,10,13677319,778362,9276052,IMG_2425.JPG,1,0.0833,2
207,228,151,76,59,74,9,0,33,10,13680610,778143,9276052,IMG_2426.JPG,1,0.0833,2
207,229,151,76,60,74,9,0,33,10,13685717,778812,9276052,IMG_2427.JPG,1,0.0833,2
207,228,151,76,59,74,9,0,33,10,13676302,778785,9276052,IMG_2428.JPG,1,0.0833,2
207,228,151,76,59,74,9,0,33,10,13687720,778796,9276052,IMG_2429.JPG,1,0.0833,2
207,228,151,76,59,74,9,0,33,10,13687513,778565,9276052,IMG_2430.JPG,1,0.0833,2
208,229,151,76,59,74,9,0,33,10,13693811,778619,9276052,IMG_2431.JPG,1,0.0833,2
207,229,151,76,59,74,9,0,33,10,13684223,779765,9276052,IMG_2432.JPG,1,0.0833,2
207,228,151,76,59,74,9,0,33,10,13678343,779660,9276052,IMG_2433.JPG,1,0.0833,2
208,229,151,76,59,74,9,0,33,10,13693976,779081,9276052,IMG_2434.JPG,1,0.0833,2
208,229,152,76,59,74,9,0,33,10,13699099,779688,9276052,IMG_2435.JPG,1,0.0833,2
208,229,152,76,59,74,9,0,33,10,13700674,779839,9276052,IMG_2436.JPG,1,0.0833,2
208,229,152,76,59,74,9,0,33,10,13698912,780194,9276052,IMG_2437.JPG,1,0.0833,2
208,229,152,76,59,74,9,0,33,10,13700200,779909,9276052,IMG_2438.JPG,1,0.0833,2
208,229,152,76,59,74,9,0,33,10,13697151,779769,9276052,IMG_2439.JPG,1,0.0833,2
208,229,152,76,59,74,9,0,33,10,13700362,779702,9276052,IMG_2440.JPG,1,0.0833,2
208,229,152,76,59,74,9,0,33,10,13700128,779758,9276052,IMG_2441.JPG,1,0.0833,2
208,229,152,76,59,74,9,0,33,10,13700922,780564,9276052,IMG_2442.JPG,1,0.0833,2
208,229,152,76,59,74,9,0,33,10,13708232,779308,9276052,IMG_2443.JPG,1,0.0833,2
208,229,152,76,59,74,9,0,33,10,13692963,779938,9276052,IMG_2444.JPG,1,0.0833,2
208,229,152,76,59,74,9,0,33,10,13705599,779258,9276052,IMG_2445.JPG,1,0.0833,2
207,229,152,76,59,74,9,0,33,10,13690264,779521,9276052,IMG_2446.JPG,1,0.0833,2
208,229,152,76,59,74,9,0,33,10,13700077,779344,9276052,IMG_2447.JPG,1,0.0833,2
208,229,152,76,59,74,9,0,33,10,13700426,780065,9276052,IMG_2448.JPG,1,0.0833,2
208,229,152,76,59,74,9,0,33,10,13698125,779706,9276052,IMG_2449.JPG,1,0.0833,2
208,229,152,76,59,74,9,0,33,10,13700235,779929,9276052,IMG_2450.JPG,1,0.0833,2
208,229,152,76,59,74,9,0,33,10,13699074,779494,9276052,IMG_2451.JPG,1,0.0833,2
208,229,152,76,59,74,9,0,33,10,13702845,779578,9276052,IMG_2452.JPG,1,0.0833,2
208,229,152,76,60,74,9,0,33,10,13706731,779684,9276052,IMG_2453.JPG,1,0.0833,2
208,229,152,76,59,74,9,0,33,10,13701946,779397,9276052,IMG_2454.JPG,1,0.0833,2
208,229,152,76,59,74,9,0,33,10,13701271,779317,9276052,IMG_2455.JPG,1,0.0833,2
207,229,151,76,59,74,9,0,33,10,13688840,779436,9276052,IMG_2456.JPG,1,0.0833,2
208,229,152,76,59,74,9,0,33,10,13694862,779468,9276052,IMG_2457.JPG,1,0.0833,2
207,228,151,76,59,74,9,0,33,10,13687220,779004,9276052,IMG_2458.JPG,1,0.0833,2
208,229,152,76,59,74,9,0,33,10,13703037,779203,9276052,IMG_2459.JPG,1,0.0833,2
208,229,152,76,59,74,9,0,33,10,13701636,779035,9276052,IMG_2460.JPG,1,0.0833,2
208,229,152,76,59,74,9,0,33,10,13700421,778466,9276052,IMG_2461.JPG,1,0.0833,2
208,229,152,76,59,74,9,0,33,10,13698670,779116,9276052,IMG_2462.JPG,1,0.0833,2
208,229,152,76,59,74,9,0,33,10,13705989,778321,9276052,IMG_2463.JPG,1,0.0833,2
208,229,152,76,59,74,9,0,33,10,13696692,779415,9276052,IMG_2464.JPG,1,0.0833,2
207,228,151,76,59,74,9,0,33,10,13683728,778509,9276052,IMG_2465.JPG,1,0.0833,2
208,229,152,76,60,74,9,0,33,10,13708588,779598,9276052,IMG_2466.JPG,1,0.0833,2
208,229,152,76,60,74,9,0,33,10,13715829,780125,9276052,IMG_2467.JPG,1,0.0833,2
